lat,lon,wind_value,year,month
60,45,1,2021,апрель
60,45.25,52.4,2021,апрель
60,45.5,102.2,2021,апрель
60,45.75,153,2021,апрель
60,46,193.8,2021,апрель
60,46.25,196.6,2021,апрель
60,46.5,154.8,2021,апрель
60,46.75,124.2,2021,апрель
60,47,119.2,2021,апрель
60,47.25,115.4,2021,апрель
60,47.5,169.4,2021,апрель
60,47.75,251,2021,апрель
60,48,197.6,2021,апрель
60,48.25,143.2,2021,апрель
60,48.5,91.6,2021,апрель
60,48.75,27.6,2021,апрель
60,49,15.2,2021,апрель
60,49.25,11.8,2021,апрель
60,49.5,5.2,2021,апрель
60,49.75,3.2,2021,апрель
60,50,3.6,2021,апрель
60,50.25,7.6,2021,апрель
60,50.5,16.2,2021,апрель
60,50.75,59.8,2021,апрель
60,51,114.8,2021,апрель
60,51.25,101,2021,апрель
60,51.5,89,2021,апрель
60,51.75,82.4,2021,апрель
60,52,72,2021,апрель
60,52.25,36.4,2021,апрель
60,52.5,9,2021,апрель
60,52.75,4.2,2021,апрель
60,53,2,2021,апрель
60,53.25,1.6,2021,апрель
60,53.5,2,2021,апрель
60,53.75,2.2,2021,апрель
60,54,1,2021,апрель
60,54.25,1.2,2021,апрель
60,54.5,2.2,2021,апрель
60,54.75,2.6,2021,апрель
60,55,3,2021,апрель
60,55.25,3.6,2021,апрель
60,55.5,3.2,2021,апрель
60,55.75,3.6,2021,апрель
60,56,4.2,2021,апрель
60,56.25,5.4,2021,апрель
60,56.5,17.8,2021,апрель
60,56.75,45.2,2021,апрель
60,57,54.6,2021,апрель
60,57.25,56.8,2021,апрель
60,57.5,44.4,2021,апрель
60,57.75,17.8,2021,апрель
60,58,14.4,2021,апрель
60,58.25,13,2021,апрель
60,58.5,12.8,2021,апрель
60,58.75,13.2,2021,апрель
60,59,14.2,2021,апрель
60,59.25,12.4,2021,апрель
60,59.5,11.6,2021,апрель
60,59.75,12.4,2021,апрель
60,60,12.4,2021,апрель
60,60.25,12.4,2021,апрель
60,60.5,11.4,2021,апрель
60,60.75,9,2021,апрель
60,61,7,2021,апрель
60,61.25,6.8,2021,апрель
60,61.5,6.4,2021,апрель
60,61.75,5.8,2021,апрель
60,62,7,2021,апрель
60,62.25,7.6,2021,апрель
60,62.5,7,2021,апрель
60,62.75,6.2,2021,апрель
60,63,6.6,2021,апрель
60,63.25,7.2,2021,апрель
60,63.5,6.6,2021,апрель
60,63.75,6.8,2021,апрель
60,64,6.4,2021,апрель
60,64.25,6.2,2021,апрель
60,64.5,7,2021,апрель
60,64.75,7.4,2021,апрель
60,65,7.6,2021,апрель
60,65.25,7.2,2021,апрель
60,65.5,7,2021,апрель
60,65.75,7.6,2021,апрель
60,66,7.4,2021,апрель
60,66.25,7.2,2021,апрель
60,66.5,7.4,2021,апрель
60,66.75,7.4,2021,апрель
60,67,9,2021,апрель
60,67.25,9.2,2021,апрель
60,67.5,9.8,2021,апрель
60,67.75,10.2,2021,апрель
60,68,10.6,2021,апрель
60,68.25,10.4,2021,апрель
60,68.5,10.8,2021,апрель
60,68.75,10.4,2021,апрель
